Variedad,DistanciaEntreHileras_m,SemillasPormLineal,DistanciaEntrePlantas_m,Densidad_Plantasha,Epoca,Repeticion,Vainas_planta,Peso1000semillas_g,NGranos_m2,Rendimiento_Kgha
5958,"0,45",12,"833,333,333,333,333",266667,2,3,"69,3","124,7","1936,2","2660,1"
5958,"0,45",16,625,355556,2,1,"54,0","118,8","2377,9","2990,5"
5958,"0,45",16,625,355556,2,2,"46,0","118,8","720,1","1955,0"
5958,"0,45",16,625,355556,2,3,"50,7","140,0","1299,8","2496,4"
5947,"0,45",8,125,177778,2,1,"61,3","117,8","2233,8","2492,3"
5947,"0,45",8,125,177778,2,2,"62,0","126,7","1695,2","1983,0"
5947,"0,45",8,125,177778,2,3,"61,7","123,7","1941,5","2188,5"
5947,"0,45",12,"833,333,333,333,333",266667,2,1,"71,3","115,1","1708,6","1931,4"
5947,"0,45",12,"833,333,333,333,333",266667,2,2,"56,0","129,3","1904,5","2418,2"
5947,"0,45",12,"833,333,333,333,333",266667,2,3,"63,7","132,7","1881,4","3850,7"
5947,"0,45",16,625,355556,2,1,"53,3","111,6","2720,2","2915,4"
5947,"0,45",16,625,355556,2,2,"69,3","128,9","2256,3","3323,8"
5947,"0,45",16,625,355556,2,3,"61,3","119,4","2509,0","3507,9"
1163,"0,45",8,125,177778,2,1,"109,0","121,3","1915,1","2117,7"
1163,"0,45",8,125,177778,2,2,"101,0","112,9","1550,7","2001,0"
1163,"0,45",8,125,177778,2,3,"107,7","122,1","898,0","1161,0"
1163,"0,45",12,"833,333,333,333,333",266667,2,1,"65,0","108,5","2128,3","2493,8"
1163,"0,45",12,"833,333,333,333,333",266667,2,2,"71,0","101,6","2194,3","2705,6"
1163,"0,45",12,"833,333,333,333,333",266667,2,3,"67,0","108,3","1575,1","2070,4"
1163,"0,45",16,625,355556,2,1,"59,0","146,3","1396,6","2536,7"
1163,"0,45",16,625,355556,2,2,"54,0","119,4","1908,0","2711,6"
1163,"0,45",16,625,355556,2,3,"55,7","109,1","1217,9","1607,6"
